#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
1,Bitcoin BTC,"$25,960.15",0.3%,-0.2%,-4.5%,"$11,326,651,984","$503,613,670,606","$545,163,066,000",0.92
2,Ethereum ETH,"$1,757.26",0.2%,-0.3%,-7.4%,"$5,444,334,894","$211,180,239,176","$211,180,239,176",1.00
3,Tether USDT,$1.00,0.0%,-0.1%,0.0%,"$17,277,403,142","$83,476,199,178","$83,476,199,178",1.00
4,BNB BNB,$236.61,0.1%,-1.4%,-22.7%,"$598,394,157","$36,876,702,100","$47,321,748,709",0.78
5,USD Coin USDC,$1.00,0.1%,-0.0%,0.1%,"$2,634,754,018","$28,379,819,236","$28,380,524,306",1.00
6,XRP XRP,$0.520532,0.7%,2.4%,-2.5%,"$921,536,739","$27,028,419,689","$51,990,710,278",0.52
7,Lido Staked Ether STETH,"$1,756.26",0.2%,-0.0%,-7.4%,"$16,623,749","$12,593,672,880","$12,593,758,316",1.00
8,Cardano ADA,$0.269827,0.7%,1.4%,-29.2%,"$583,478,605","$9,463,978,748","$12,152,341,006",0.78
9,Dogecoin DOGE,$0.062218,0.4%,-0.2%,-14.5%,"$356,785,608","$8,687,949,186","$8,687,954,782",1.00
10,TRON TRX,$0.070079,0.7%,0.5%,-14.5%,"$279,464,436","$6,310,633,208","$6,310,633,208",1.00
11,Solana SOL,$15.48,0.3%,-0.4%,-29.9%,"$576,914,981","$6,158,543,231","$8,496,300,819",0.72
12,Polygon MATIC,$0.645186,1.7%,9.0%,-28.3%,"$641,076,175","$5,945,493,210","$6,400,250,827",0.93
13,Litecoin LTC,$78.14,0.2%,0.6%,-18.4%,"$527,343,984","$5,709,095,294","$6,558,239,272",0.87
14,Polkadot DOT,$4.49,-0.0%,-0.2%,-15.7%,"$123,699,883","$5,572,713,886","$5,935,976,652",0.94
15,Binance USD BUSD,$1.00,0.2%,-0.0%,0.1%,"$858,049,698","$4,784,237,064","$4,784,237,064",1.00
16,Dai DAI,$1.00,0.2%,0.2%,0.1%,"$81,506,807","$4,542,202,833","$4,542,830,970",1.00
17,Wrapped Bitcoin WBTC,"$25,959.37",0.3%,-0.0%,-4.7%,"$90,727,850","$4,071,812,332","$4,071,812,332",1.00
18,Avalanche AVAX,$11.66,0.3%,-0.2%,-21.2%,"$155,468,167","$4,020,705,866","$8,393,572,293",0.48
19,Shiba Inu SHIB,$0.00000670,0.4%,-1.9%,-22.4%,"$138,958,852","$3,947,599,813","$6,698,266,786",0.59
20,LEO Token LEO,$3.56,-0.0%,1.8%,-1.0%,"$556,079","$3,303,652,806","$3,499,374,583",0.94
21,Uniswap UNI,$4.08,0.3%,-0.4%,-18.8%,"$43,831,434","$3,073,918,249","$4,078,076,656",0.75
22,Chainlink LINK,$5.20,0.4%,1.3%,-20.1%,"$188,748,851","$2,682,094,564","$5,186,800,839",0.52
23,Monero XMR,$136.48,0.2%,-1.7%,-8.6%,"$42,545,034","$2,477,621,335",-,-
24,Cosmos Hub ATOM,$8.39,1.2%,3.4%,-21.9%,"$81,935,324","$2,449,952,518",-,-
25,OKB OKB,$40.42,-0.3%,-3.3%,-11.8%,"$8,378,516","$2,426,737,832","$12,133,689,158",0.20
26,Stellar XLM,$0.083722,1.1%,2.7%,-9.3%,"$50,088,496","$2,248,375,964","$4,181,063,734",0.54
27,Toncoin TON,$1.48,0.2%,-3.7%,-14.8%,"$5,666,760","$2,190,400,416","$7,517,449,848",0.29
28,Ethereum Classic ETC,$15.17,0.4%,1.3%,-17.0%,"$87,845,470","$2,143,116,595","$3,193,410,039",0.67
29,TrueUSD TUSD,$0.998970,0.0%,0.4%,-0.1%,"$1,456,744,933","$2,040,284,141","$2,040,284,141",1.00
30,Bitcoin Cash BCH,$102.98,0.2%,-0.1%,-11.5%,"$61,054,752","$2,001,645,996","$2,164,863,159",0.92
31,Internet Computer ICP,$3.70,0.2%,-2.5%,-23.1%,"$23,413,932","$1,614,769,843","$1,735,713,994",0.93
32,Lido DAO LDO,$1.82,2.9%,-2.2%,-20.1%,"$54,669,395","$1,601,375,064","$1,820,598,606",0.88
33,Quant QNT,$102.44,0.3%,-2.3%,-12.4%,"$16,376,948","$1,489,158,694","$1,496,153,563",1.00
34,Filecoin FIL,$3.41,0.3%,-2.6%,-28.6%,"$118,669,868","$1,461,219,831","$6,683,850,990",0.22
35,Cronos CRO,$0.055080,0.0%,4.9%,-10.6%,"$7,601,815","$1,438,655,269","$1,653,395,857",0.87
36,Hedera HBAR,$0.04400301,0.2%,-2.3%,-13.2%,"$27,502,049","$1,392,404,090","$2,201,262,343",0.63
37,Arbitrum ARB,$0.997904,-0.2%,-0.5%,-18.1%,"$199,845,951","$1,270,617,789","$9,965,629,716",0.13
38,Aptos APT,$6.06,1.3%,1.2%,-35.0%,"$64,525,395","$1,218,381,006","$6,302,186,492",0.19
39,VeChain VET,$0.01563449,0.1%,1.9%,-21.9%,"$45,476,256","$1,137,755,426","$1,356,782,313",0.84
40,NEAR Protocol NEAR,$1.21,0.3%,-0.4%,-26.0%,"$61,087,900","$1,104,556,248","$1,206,911,260",0.92
41,Pax Dollar USDP,$0.998527,0.0%,-0.1%,-0.1%,"$1,582,079","$1,005,766,418","$1,005,766,418",1.00
42,Frax FRAX,$1.00,0.1%,0.1%,0.2%,"$6,413,713","$1,005,690,718","$1,005,690,718",1.00
43,BSCEX BSCX,$237.71,0.1%,0.5%,13604.2%,"$1,511,020","$907,225,096","$2,226,416,197",0.41
44,The Graph GRT,$0.099878,-0.3%,-0.9%,-21.2%,"$43,985,610","$899,699,276","$998,766,744",0.90
45,ApeCoin APE,$2.38,0.5%,3.8%,-24.7%,"$108,028,200","$876,483,075","$2,377,910,843",0.37
46,Rocket Pool RPL,$44.30,0.3%,0.1%,-11.3%,"$3,190,188","$863,316,804","$863,316,804",1.00
47,Rocket Pool ETH RETH,"$1,887.21",0.2%,-0.1%,-7.5%,"$3,228,278","$832,057,003","$832,062,608",1.00
48,Algorand  ALGO,$0.111153,0.6%,-1.1%,-27.2%,"$41,456,927","$805,632,553","$1,111,314,281",0.72
49,MultiversX EGLD,$30.22,0.4%,-0.7%,-21.0%,"$12,386,895","$772,528,920","$950,024,418",0.81
50,Stacks STX,$0.554769,0.2%,-3.0%,-10.3%,"$42,829,360","$766,831,745","$1,007,427,224",0.76
51,Aave AAVE,$52.75,0.4%,0.2%,-16.3%,"$47,167,680","$761,052,628","$844,120,035",0.90
52,EOS EOS,$0.684786,-0.2%,-1.8%,-25.6%,"$128,493,764","$759,886,539",-,-
53,USDD USDD,$0.998884,0.1%,0.2%,-0.0%,"$22,774,895","$743,471,704",-,-
54,The Sandbox SAND,$0.389474,0.8%,0.9%,-32.3%,"$115,582,518","$720,332,851","$1,165,850,035",0.62
55,Render RNDR,$1.94,0.3%,-0.2%,-27.3%,"$71,077,716","$710,193,957","$1,029,324,011",0.69
56,Optimism OP,$1.09,0.7%,-1.9%,-27.1%,"$101,844,855","$700,676,607","$4,668,643,301",0.15
57,Fantom FTM,$0.241595,0.7%,-0.0%,-24.5%,"$96,583,440","$674,115,316","$766,217,646",0.88
58,WhiteBIT Token WBT,$4.67,0.0%,-0.6%,-4.8%,"$5,092,932","$673,555,514","$1,869,448,916",0.36
59,Tezos XTZ,$0.721651,0.3%,-0.5%,-21.2%,"$16,534,003","$673,000,300",-,-
60,Bitget Token BGB,$0.477932,0.0%,2.4%,1.6%,"$18,847,441","$669,665,803","$956,664,749",0.70
61,Theta Network THETA,$0.657002,0.3%,0.4%,-22.0%,"$10,484,535","$655,846,347","$655,846,347",1.00
62,Radix XRD,$0.064205,-0.1%,3.6%,-4.8%,"$1,819,682","$654,765,759","$1,542,266,614",0.42
63,Decentraland MANA,$0.342533,0.3%,-1.3%,-30.9%,"$57,109,844","$624,123,237","$750,305,812",0.83
64,BitDAO BIT,$0.427325,0.1%,0.8%,-13.7%,"$2,070,200","$622,175,556","$4,112,537,132",0.15
65,ImmutableX IMX,$0.607525,0.8%,-0.2%,-26.7%,"$17,690,596","$606,112,176","$1,213,580,131",0.50
66,KuCoin KCS,$5.92,0.1%,-4.9%,-20.3%,"$2,984,712","$574,208,402","$855,876,403",0.67
67,Curve DAO CRV,$0.672566,0.1%,0.3%,-21.8%,"$44,396,371","$573,010,437","$2,222,205,186",0.26
68,Axie Infinity AXS,$4.95,0.7%,-0.8%,-30.9%,"$41,507,038","$572,497,708","$1,336,439,266",0.43
69,Gemini Dollar GUSD,$1.00,0.2%,-0.1%,0.4%,"$2,220,761","$571,991,868","$571,991,868",1.00
70,Synthetix Network SNX,$1.79,0.9%,1.0%,-23.9%,"$23,789,297","$570,476,224","$571,771,306",1.00
71,Gate GT,$4.07,0.0%,2.8%,-5.0%,"$565,364","$565,874,300","$1,221,145,352",0.46
72,Maker MKR,$614.97,-0.8%,-2.8%,-11.4%,"$22,099,868","$554,079,908","$618,177,348",0.90
73,NEO NEO,$7.72,0.1%,1.1%,-26.1%,"$23,774,784","$544,600,015","$772,153,715",0.71
74,Flow FLOW,$0.511464,0.5%,-1.0%,-30.1%,"$18,796,859","$528,886,283","$734,244,373",0.72
75,Terra Luna Classic LUNC,$0.00008998,-0.1%,1.9%,-17.2%,"$38,341,193","$528,023,242","$618,712,247",0.85
76,GALA GALA,$0.02134618,0.2%,0.5%,-28.1%,"$65,091,130","$512,939,762","$1,066,339,728",0.48
77,BitTorrent BTT,$0.000000536688,-0.9%,1.2%,-9.8%,"$15,481,625","$511,589,070","$532,333,004",0.96
78,Bitcoin SV BSV,$25.73,-0.1%,-2.2%,-22.4%,"$26,998,880","$496,215,176","$540,873,935",0.92
79,PAX Gold PAXG,"$1,913.65",-0.0%,-0.9%,-1.6%,"$6,593,640","$494,271,300","$494,271,300",1.00
80,Tether Gold XAUT,"$1,959.13",0.0%,0.0%,0.3%,"$6,493,966","$483,521,131","$483,521,131",1.00
81,Klaytn KLAY,$0.154669,0.5%,3.6%,-17.0%,"$15,896,257","$478,840,195",-,-
82,XDC Network XDC,$0.03410271,-0.0%,-0.3%,-2.6%,"$1,833,733","$472,517,681","$1,291,784,699",0.37
83,Casper Network CSPR,$0.04196154,1.5%,0.4%,-10.6%,"$3,077,461","$466,553,880","$495,363,495",0.94
84,Kava KAVA,$0.820258,0.0%,2.1%,-18.5%,"$16,310,403","$463,694,895","$463,707,033",1.00
85,cETH CETH,$35.26,0.0%,-1.0%,-8.4%,$106,"$460,484,704","$460,484,722",1.00
86,Tokenize Xchange TKX,$5.69,0.1%,-0.1%,-11.6%,"$6,760,147","$454,468,182","$568,113,634",0.80
87,Injective INJ,$5.59,0.4%,-3.9%,-29.1%,"$46,230,400","$447,235,323","$559,005,335",0.80
88,IOTA MIOTA,$0.156859,0.2%,-0.4%,-24.3%,"$9,450,958","$435,958,740","$435,958,740",1.00
89,Huobi HT,$2.65,0.1%,0.9%,-11.5%,"$16,076,735","$429,765,148","$540,012,100",0.80
90,eCash XEC,$0.00002073,0.7%,2.0%,-16.5%,"$2,697,601","$401,396,111","$434,228,608",0.92
91,Frax Ether FRXETH,"$1,755.00",0.1%,-0.2%,-7.5%,"$1,757,432","$395,502,905","$395,502,905",1.00
92,cUSDC CUSDC,$0.02295439,0.1%,-0.1%,0.1%,$8.87,"$395,974,268","$395,974,268",1.00
93,Mina Protocol MINA,$0.429319,0.8%,2.9%,-22.9%,"$13,158,839","$391,887,960","$445,820,768",0.88
94,GMX GMX,$44.28,0.3%,-2.8%,-21.8%,"$21,054,292","$389,061,965","$587,040,122",0.66
95,Pepe PEPE,$0.000000922137,-0.1%,-2.3%,-25.8%,"$96,275,921","$388,155,339","$388,155,339",1.00
96,Conflux CFX,$0.182231,0.5%,0.3%,-32.2%,"$52,589,422","$382,670,818","$964,180,461",0.40
97,Chiliz CHZ,$0.069099,0.3%,-0.3%,-32.6%,"$59,901,324","$368,995,317","$613,757,249",0.60
98,Frax Share FXS,$4.92,0.4%,-4.7%,-25.1%,"$20,377,285","$356,395,159","$491,249,971",0.73
99,NEXO NEXO,$0.616955,-0.3%,1.0%,-7.0%,"$4,009,297","$346,019,270","$617,891,542",0.56
100,Nexus Mutual NXM,$49.84,0.0%,-0.4%,-7.5%,"$12,730","$336,887,750","$336,887,750",1.00
